epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,152.157,1.47767,0.9184,1.21668,0.9805,0.95455,0.97197,0.54048,1.58127,0.89641,1.32838,0.0015248,0.0015248,0.0015248
26,157.404,1.40128,0.86013,1.16261,0.98437,0.95447,0.97085,0.52593,1.4624,0.86924,1.30526,0.001505,0.001505,0.001505
27,162.498,1.47687,0.86337,1.22348,0.98436,0.95393,0.96484,0.5272,1.52627,0.81327,1.32763,0.0014852,0.0014852,0.0014852
28,167.256,1.40525,0.84083,1.16963,0.98404,0.93416,0.97027,0.53601,1.70176,0.89024,1.38554,0.0014654,0.0014654,0.0014654
29,171.921,1.39598,0.83295,1.14707,0.97925,0.93939,0.98117,0.53933,1.71479,0.83716,1.39646,0.0014456,0.0014456,0.0014456
30,177.145,1.41642,0.85876,1.20353,0.96707,0.9697,0.9769,0.51225,1.72224,0.82364,1.4235,0.0014258,0.0014258,0.0014258
31,182.552,1.43247,0.84895,1.19843,0.94771,0.98485,0.9775,0.50262,1.6583,0.82415,1.3672,0.001406,0.001406,0.001406
32,187.7,1.47226,0.86712,1.19662,0.98136,0.98485,0.98017,0.51021,1.63929,0.8349,1.38271,0.0013862,0.0013862,0.0013862
33,192.848,1.4195,0.82278,1.15688,0.97431,0.9697,0.9795,0.49449,1.73017,0.84168,1.42593,0.0013664,0.0013664,0.0013664
34,198.01,1.41925,0.79841,1.1835,0.97,0.97971,0.98027,0.52142,1.63138,0.76316,1.38317,0.0013466,0.0013466,0.0013466
35,203.261,1.38875,0.79324,1.15249,0.98485,0.98467,0.98157,0.55047,1.51651,0.73428,1.28998,0.0013268,0.0013268,0.0013268
36,208.391,1.39732,0.81386,1.15377,0.98233,0.9697,0.979,0.53136,1.53265,0.71739,1.33062,0.001307,0.001307,0.001307
37,213.617,1.37378,0.7698,1.1816,0.98301,0.9697,0.97666,0.52247,1.48825,0.70269,1.30892,0.0012872,0.0012872,0.0012872
38,219.028,1.35499,0.75338,1.12387,0.98344,0.9697,0.9744,0.52063,1.52606,0.71981,1.30966,0.0012674,0.0012674,0.0012674
39,224.285,1.36552,0.74591,1.10925,0.98272,0.9697,0.97347,0.54967,1.51245,0.67838,1.30169,0.0012476,0.0012476,0.0012476
40,229.407,1.41116,0.7722,1.17134,0.98271,0.9697,0.9773,0.51237,1.64475,0.68723,1.39462,0.0012278,0.0012278,0.0012278
41,234.481,1.36209,0.76269,1.10295,0.98319,0.9697,0.98092,0.54345,1.5814,0.66681,1.34516,0.001208,0.001208,0.001208
42,239.482,1.42109,0.77688,1.21394,0.98337,0.9697,0.98319,0.51556,1.70187,0.71113,1.38431,0.0011882,0.0011882,0.0011882
43,244.745,1.35629,0.74353,1.18653,0.9704,0.99343,0.98458,0.575,1.53254,0.64833,1.29956,0.0011684,0.0011684,0.0011684
44,250.176,1.32878,0.72574,1.13915,0.98495,0.99178,0.98619,0.51889,1.6908,0.68428,1.38296,0.0011486,0.0011486,0.0011486
45,255.377,1.34749,0.72103,1.13109,0.98484,0.98433,0.98754,0.51822,1.69967,0.69154,1.39609,0.0011288,0.0011288,0.0011288
46,260.755,1.31526,0.69772,1.14856,0.97915,1,0.98993,0.54484,1.62798,0.68141,1.35056,0.001109,0.001109,0.001109
47,266.187,1.33264,0.69822,1.12794,0.98484,0.98399,0.98993,0.5233,1.6869,0.67079,1.38258,0.0010892,0.0010892,0.0010892
48,271.633,1.25476,0.67827,1.12553,0.98492,0.98997,0.98604,0.49474,1.71657,0.66512,1.40619,0.0010694,0.0010694,0.0010694
49,276.805,1.20478,0.66186,1.09696,0.98481,0.98244,0.9841,0.498,1.68585,0.65996,1.40454,0.0010496,0.0010496,0.0010496
50,281.994,1.30984,0.68015,1.10823,0.9831,0.9697,0.98254,0.52452,1.58457,0.63673,1.33925,0.0010298,0.0010298,0.0010298
51,286.657,1.23705,0.64428,1.10334,0.98294,0.9697,0.98129,0.54044,1.49954,0.61558,1.30039,0.00101,0.00101,0.00101
52,291.429,1.24458,0.66711,1.11672,0.9846,0.96842,0.98319,0.52344,1.50206,0.64281,1.28595,0.0009902,0.0009902,0.0009902
53,296.522,1.27993,0.68701,1.15291,0.97019,1,0.9835,0.50676,1.50955,0.6634,1.2911,0.0009704,0.0009704,0.0009704
54,300.978,1.22629,0.66253,1.09866,0.94114,0.98485,0.97391,0.51841,1.52372,0.68451,1.30642,0.0009506,0.0009506,0.0009506
55,305.835,1.27312,0.64844,1.13054,0.98457,0.9666,0.98416,0.51155,1.62381,0.68171,1.37529,0.0009308,0.0009308,0.0009308
56,311.02,1.24695,0.64078,1.093,0.98459,0.96799,0.98547,0.50372,1.69424,0.64688,1.39073,0.000911,0.000911,0.000911
57,316.091,1.23018,0.66819,1.13783,0.98457,0.96675,0.98376,0.47496,1.75554,0.65667,1.4381,0.0008912,0.0008912,0.0008912
58,321.133,1.23372,0.6664,1.11244,0.96968,0.96907,0.98676,0.49351,1.68483,0.64445,1.37481,0.0008714,0.0008714,0.0008714
59,326.17,1.28573,0.6415,1.1693,0.98459,0.96804,0.98735,0.52923,1.57378,0.60598,1.3333,0.0008516,0.0008516,0.0008516
60,331.25,1.22739,0.62075,1.12499,0.98429,0.9697,0.98508,0.50947,1.53749,0.61683,1.32509,0.0008318,0.0008318,0.0008318
61,336.28,1.31637,0.66971,1.16466,0.98164,0.9697,0.98508,0.51717,1.52,0.62194,1.29915,0.000812,0.000812,0.000812
62,341.419,1.20895,0.62125,1.10752,0.98174,0.9697,0.98435,0.52671,1.52673,0.61111,1.28668,0.0007922,0.0007922,0.0007922
63,346.486,1.1841,0.60941,1.06808,0.98181,0.9697,0.98205,0.5164,1.49279,0.60487,1.28739,0.0007724,0.0007724,0.0007724
64,351.511,1.28212,0.65236,1.12173,0.98249,0.9697,0.98506,0.50018,1.62077,0.63933,1.33995,0.0007526,0.0007526,0.0007526
65,356.528,1.28342,0.61974,1.1038,0.98289,0.9697,0.98628,0.49366,1.66537,0.64716,1.36807,0.0007328,0.0007328,0.0007328
66,361.593,1.17562,0.60805,1.06217,0.98335,0.9697,0.98871,0.49938,1.72536,0.66183,1.41149,0.000713,0.000713,0.000713
67,366.674,1.1697,0.59408,1.0818,0.98342,0.9697,0.9899,0.529,1.58459,0.60115,1.34475,0.0006932,0.0006932,0.0006932
68,371.684,1.24263,0.61186,1.10285,0.98315,0.9697,0.98667,0.52534,1.55499,0.5851,1.34529,0.0006734,0.0006734,0.0006734
69,376.826,1.19978,0.60356,1.11016,0.98295,0.9697,0.9868,0.52345,1.51529,0.58875,1.31644,0.0006536,0.0006536,0.0006536
70,381.952,1.20269,0.59533,1.08475,0.9826,0.9697,0.9842,0.51396,1.55555,0.61604,1.33347,0.0006338,0.0006338,0.0006338
71,387.033,1.18612,0.60468,1.09119,0.98252,0.9697,0.98043,0.52761,1.55431,0.60137,1.34294,0.000614,0.000614,0.000614
72,391.544,1.18685,0.59085,1.09316,0.98274,0.9697,0.98078,0.53728,1.53266,0.58927,1.3275,0.0005942,0.0005942,0.0005942
73,396.337,1.22833,0.61008,1.09714,0.98301,0.9697,0.98083,0.528,1.55367,0.58665,1.34088,0.0005744,0.0005744,0.0005744
74,401.532,1.19751,0.58134,1.06224,0.98326,0.9697,0.98212,0.51994,1.57318,0.58985,1.39475,0.0005546,0.0005546,0.0005546
75,406.737,1.18179,0.58606,1.0711,0.98497,0.99313,0.98201,0.51341,1.58146,0.57869,1.35957,0.0005348,0.0005348,0.0005348
76,411.83,1.17735,0.58275,1.08347,0.98504,0.99753,0.98246,0.51772,1.5703,0.58912,1.34377,0.000515,0.000515,0.000515
77,416.881,1.10098,0.55885,1.03533,0.98502,0.99619,0.98261,0.52507,1.58297,0.59598,1.34778,0.0004952,0.0004952,0.0004952
78,422.031,1.18387,0.55919,1.07408,0.985,0.99481,0.98381,0.52922,1.62729,0.59621,1.38581,0.0004754,0.0004754,0.0004754
79,427.248,1.1546,0.56959,1.06159,0.98504,0.99787,0.98381,0.54883,1.6268,0.60087,1.37972,0.0004556,0.0004556,0.0004556
80,432.417,1.13011,0.57116,1.04665,0.98322,1,0.9853,0.53856,1.64272,0.60771,1.38821,0.0004358,0.0004358,0.0004358
81,437.577,1.11921,0.56929,1.04811,0.98084,1,0.98575,0.5574,1.63859,0.61059,1.38108,0.000416,0.000416,0.000416
82,442.812,1.16015,0.58189,1.06429,0.97899,1,0.98649,0.55971,1.61195,0.59729,1.3592,0.0003962,0.0003962,0.0003962
83,447.965,1.14455,0.57269,1.07627,0.98156,1,0.98754,0.55325,1.5917,0.60226,1.36378,0.0003764,0.0003764,0.0003764
84,453.138,1.16089,0.57504,1.05809,0.98359,0.9697,0.98874,0.50906,1.63687,0.61299,1.40455,0.0003566,0.0003566,0.0003566
85,458.273,1.14172,0.57188,1.07268,0.98362,0.9697,0.98968,0.51237,1.66263,0.61634,1.41246,0.0003368,0.0003368,0.0003368
86,463.485,1.15303,0.55874,1.10569,0.98374,0.9697,0.99055,0.52037,1.61806,0.59656,1.36713,0.000317,0.000317,0.000317
87,468.649,1.15697,0.5596,1.08201,0.98387,0.9697,0.99019,0.5307,1.5897,0.58132,1.35002,0.0002972,0.0002972,0.0002972
88,473.795,1.14751,0.56139,1.05483,0.98396,0.9697,0.98462,0.51827,1.64661,0.59429,1.39267,0.0002774,0.0002774,0.0002774
89,479.061,1.16852,0.5532,1.05344,0.98421,0.9697,0.98445,0.52721,1.62813,0.59411,1.38446,0.0002576,0.0002576,0.0002576
90,484.26,1.10648,0.5437,1.06289,0.98461,0.96945,0.98932,0.53034,1.58797,0.58517,1.35926,0.0002378,0.0002378,0.0002378
91,489.475,1.13144,0.59486,1.13745,0.98461,0.96912,0.98942,0.52698,1.62496,0.59767,1.38042,0.000218,0.000218,0.000218
92,494.465,1.08862,0.58086,1.12532,0.9846,0.96861,0.98957,0.51395,1.71381,0.59922,1.438,0.0001982,0.0001982,0.0001982
93,499.467,1.1188,0.5791,1.09118,0.9846,0.96846,0.98994,0.50706,1.72929,0.59404,1.44968,0.0001784,0.0001784,0.0001784
94,504.199,1.10349,0.5812,1.06989,0.98459,0.96811,0.98981,0.51082,1.70734,0.58686,1.4352,0.0001586,0.0001586,0.0001586
95,508.446,1.07043,0.57404,1.1375,0.98459,0.96836,0.99058,0.51835,1.71466,0.57124,1.43212,0.0001388,0.0001388,0.0001388
96,513.576,1.07122,0.55381,1.07858,0.9846,0.96869,0.9912,0.51583,1.71339,0.57753,1.4341,0.000119,0.000119,0.000119
97,518.488,1.05395,0.54701,1.10713,0.9846,0.96883,0.99105,0.5149,1.71056,0.57784,1.43214,9.92e-05,9.92e-05,9.92e-05
98,523.64,1.09447,0.55322,1.10189,0.98461,0.96912,0.99166,0.50906,1.71393,0.58258,1.43885,7.94e-05,7.94e-05,7.94e-05
99,528.646,1.06605,0.53974,1.1068,0.98461,0.96921,0.99151,0.51732,1.69205,0.58912,1.43011,5.96e-05,5.96e-05,5.96e-05
100,533.557,1.07952,0.53366,1.10458,0.98461,0.9693,0.99151,0.51362,1.68703,0.59142,1.42674,3.98e-05,3.98e-05,3.98e-05
